"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R17,R2,R1,R5,R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"10K";;;
2;"D2,D1";"D_SOD-323_HandSoldering";2;"D_Schottky_Small";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
4;"R16,R15,R14,R13,R12,R11,R10,R9,R8,R7";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";10;"10K";;;
5;"JTAG1";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
6;"C29,C27,C25,C23,C22,C21,C19,C18,C13,C12,C10,C8,C6,C4,C9,C7,C5,C3,C2,C11,C16,C30,C17,C15,C14,C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";26;"0.1uf";;;
7;"X1";"Crystal_SMD_7050_4Pads";1;"OSC";;;
8;"C28";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10uF";;;
9;"U8";"SOT-223";1;"AP111733";;;
10;"C31,C26";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
11;"U1";"QFP50P2200X2200X165-145N";1;"10M08SCE144C8G";;;
12;"U5,U7,U3,U6,U4,U2";"TSSOP-24_4.4x7.8mm_P0.65mm";6;"74LVC4245APW";;;
13;"U9";"PLCC-68_THT-Socket-Electron-ULA";1;"ELECTRON_ULA_PGA_68";;;
14;"CMP1";"SOT-23-5";1;"MIC7221YM5-TR";;;
15;"C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uf";;;
16;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100";;;
17;"C24";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.7nf";;;
